url,Issuer,Cedent / sponsor,Placement / structuring agent/s,Risk modelling / calculation agents etc,Risks / perils covered,Size,Trigger type,Ratings,Date of issue
https://www.artemis.bm/deal-directory/polestar-re-ltd-series-2024-3/,PoleStar Re Ltd.,Beazley,Gallagher Securities is sole structuring agent and bookrunner,RMS,Cyber risks,210000000.0,Indemnity,NR,Sep 2024
https://www.artemis.bm/deal-directory/radnor-re-2024-1-ltd/,Radnor Re 2024-1 Ltd.,Essent Guaranty,Unknown,Unknown,Mortgage insurance risks,363400000.0,Indemnity,Morningstar DBRS rated,Sep 2024
https://www.artemis.bm/deal-directory/eclipse-re-ltd-series-2024-4a/,Eclipse Re Ltd.,Unknown,Unknown,Unknown,Unknown property catastrophe risks,7500000.0,Unknown,NR,Aug 2024
https://www.artemis.bm/deal-directory/eclipse-re-ltd-series-2024-3a/,Eclipse Re Ltd.,Unknown,Unknown,Unknown,Unknown property catastrophe risks,5000000.0,Unknown,NR,Aug 2024
https://www.artemis.bm/deal-directory/bellemeade-re-2024-1-ltd/,Bellemeade Re 2024-1 Ltd.,Arch Capital Group Ltd.,Unknown,Unknown,Mortgage insurance risks,163200000.0,Indemnity,Morningstar DBRS rated,Aug 2024
https://www.artemis.bm/deal-directory/seaside-re-series-2024-61/,Kaith Re Ltd.,Unknown,Unknown,Unknown,U.S. property catastrophe risks,10000000.0,Unknown,NR,Aug 2024
https://www.artemis.bm/deal-directory/dodeka-2024-2/,Artex Axcell Re (Bermuda) Limited for segregated account Dodeka 2024-2,Unknown,Unknown,Unknown,U.S. property catastrophe risks,10000000.0,Industry loss index,NR,Aug 2024
https://www.artemis.bm/deal-directory/eclipse-re-ltd-series-2024-5a/,Eclipse Re Ltd.,Unknown,Unknown,Unknown,Unknown property catastrophe risks,7075000.0,Unknown,NR,Aug 2024
https://www.artemis.bm/deal-directory/eclipse-re-ltd-series-2024-7a/,Eclipse Re Ltd.,Unknown,Unknown,Unknown,Unknown property catastrophe risks,25000000.0,Unknown,NR,Jul 2024
https://www.artemis.bm/deal-directory/mangrove-risk-solutions-bermuda-ltd-series-2024-b/,Mangrove Risk Solutions Bermuda Ltd.,Unknown,GC Securities is sole structuring agent and bookrunner,Unknown,Unknown property catastrophe risks,13200000.0,Unknown,NR,Jul 2024
https://www.artemis.bm/deal-directory/eclipse-re-ltd-series-2024-6a/,Eclipse Re Ltd.,Unknown,Unknown,Unknown,Unknown property catastrophe risks,9820000.0,Unknown,NR,Jul 2024
https://www.artemis.bm/deal-directory/mangrove-risk-solutions-bermuda-ltd-series-2024-a/,Mangrove Risk Solutions Bermuda Ltd.,Unknown,GC Securities is sole structuring agent and bookrunner,Unknown,Unknown property catastrophe risks,26325000.0,Unknown,NR,Jul 2024
https://www.artemis.bm/deal-directory/quercus-re-dac-2024-1/,Quercus Re DAC,Groupama,Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,European windstorm (France only),,,,
https://www.artemis.bm/deal-directory/mangrove-risk-solutions-bermuda-ltd-series-2024-d/,Mangrove Risk Solutions Bermuda Ltd.,Unknown,GC Securities is sole structuring agent and bookrunner,Unknown,Unknown property catastrophe risks,20000000.0,Unknown,NR,Jul 2024
https://www.artemis.bm/deal-directory/li-re-series-2024-1/,Kaith Re Ltd.,Unknown,Unknown,Unknown,Unknown property catastrophe risks,5000000.0,Unknown,NR,Jul 2024
https://www.artemis.bm/deal-directory/randolph-re-series-2024-1/,White Rock Insurance Company PCC Limited,Mercury Insurance,Aon Securities is sole structuring agent and bookrunner,Unknown,California wildfire,45500000.0,Indemnity,NR,Jul 2024
https://www.artemis.bm/deal-directory/dodeka-2024-1/,Artex Axcell Re (Bermuda) Limited for segregated account Dodeka 2024-1,Unknown,Unknown,Unknown,U.S. property catastrophe risks,15000000.0,Industry loss index,NR,Jul 2024
https://www.artemis.bm/deal-directory/3264-re-ltd-series-2024-1/,3264 Re Ltd.,Hannover Re,GC Securities is sole structuring agent and joint bookrunner. Howden Capital Markets & Advisory is joint bookrunner.,AIR Worldwide,US named storm,,,,
https://www.artemis.bm/deal-directory/gateway-re-ltd-series-2024-4/,Gateway Re Ltd.,"Anchor Re, SureChoice Underwriters Reciprocal Exchange, Elevate Reciprocal Exchange",Swiss Re Capital Markets is sole structuring agent and bookrunner,AIR Worldwide,"US named storm: Alabama, North and South Carolina, Louisiana, Mississippi, Texas, Virgina, New York",60000000.0,Industry loss index,NR,Jun 2024
https://www.artemis.bm/deal-directory/kilimanjaro-ii-re-ltd-series-2024-1/,Kilimanjaro II Re Ltd.,Everest Re,Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,"U.S., Puerto Rico, U.S. Virgin Islands, D.C., Canada named storm and earthquake",200000000.0,Industry loss index,NR,Jun 2024
https://www.artemis.bm/deal-directory/mayflower-re-ltd-series-2024-1/,Mayflower Re Ltd.,Massachusetts Property Insurance Underwriting Association,GC Securities is sole structuring agent and bookrunner,AIR Worldwide,"Massachusetts named storm, severe thunderstorm & winter storm",100000000.0,Indemnity,NR,Jun 2024
https://www.artemis.bm/deal-directory/nature-coast-re-ltd-series-2024-1/,Nature Coast Re Ltd.,SafePoint Insurance Company,Aon Securities is sole structuring agent and bookrunner. Acrisure Re is Swiss and UK placement agent.,AIR Worldwide,"U.S. named storm (Florida, Louisiana, Alabama, Mississippi, Texas)",50000000.0,Indemnity,NR,Jun 2024
https://www.artemis.bm/deal-directory/windmill-iii-re-dac-2024-1/,Windmill III Re DAC,Achmea Reinsurance Company N.V.,Gallagher Securities is sole structuring agent and bookrunner,RMS,European windstorm,,,,
https://www.artemis.bm/deal-directory/puerto-rico-parametric-re-ltd-series-2024-1/,Puerto Rico Parametric Re Ltd.,Government of Puerto Rico,Aon Securities is sole structuring agent and bookrunner,RMS,Puerto Rico named storm and earthquake,85000000.0,Parametric,NR,Jun 2024
https://www.artemis.bm/deal-directory/mona-lisa-re-ltd-series-2024-1/,Mona Lisa Re Ltd.,Renaissance Re and DaVinci Re,Aon Securities and GC Securities are joint structuring agents & bookrunners,AIR Worldwide,"U.S., Puerto Rico, U.S. Virgin Islands, D.C. named storm and earthquakes, Canada earthquakes",150000000.0,Industry loss index,NR,Jun 2024
https://www.artemis.bm/deal-directory/gateway-re-ltd-series-2024-3/,Gateway Re Ltd.,"SureChoice Underwriters Reciprocal Exchange, Elevate Reciprocal Exchange",Swiss Re Capital Markets is sole structuring agent and bookrunner,AIR Worldwide,"US named storm: Alabama, North and South Carolina, Louisiana, Mississippi, Texas",,,,
https://www.artemis.bm/deal-directory/marlon-ltd-series-2024-1/,Marlon Ltd.,Gallatin Point Capital LLC,Howden Capital Markets & Advisory is sole structuring agent and bookrunner,AIR Worldwide,Florida named storm,150000000.0,Industry loss index,NR,May 2024
https://www.artemis.bm/deal-directory/atlas-capital-dac-series-2024-1/,Atlas Capital DAC,SCOR SE,GC Securities is sole structuring agent and bookrunner,AIR Worldwide,"U.S. named storm, U.S. & Canada earthquake",175000000.0,Industry loss index,NR,May 2024
https://www.artemis.bm/deal-directory/sanders-re-ii-ltd-series-2024-2/,Sanders Re II Ltd.,Allstate,Aon Securities is sole structuring agent and joint bookrunner. Goldman Sachs is joint bookrunner.,AIR Worldwide,Florida multi-peril,74500000.0,Indemnity,NR,May 2024
https://www.artemis.bm/deal-directory/titania-re-ltd-series-2024-1-may/,Titania Re Ltd.,Syndicate 1910 (Ariel Re),Howden Capital Markets & Advisory is sole structuring agent and joint bookrunner. Aon Securities is joint bookrunner.,AIR Worldwide,"U.S., Puerto Rico, U.S. Virgin Islands, D.C., Canada named storm and earthquake",,,,
https://www.artemis.bm/deal-directory/eclipse-re-ltd-series-2024-2a/,Eclipse Re Ltd.,Unknown,Unknown,Unknown,Unknown property catastrophe risks,25000000.0,Unknown,NR,May 2024
https://www.artemis.bm/deal-directory/torrey-pines-re-ltd-series-2024-1/,Torrey Pines Re Ltd.,Palomar Specialty Insurance Company,GC Securities and Howden Capital Markets & Advisory are joint structuring agents and joint bookrunners,RMS,California earthquake,420000000.0,Indemnity,NR,May 2024
https://www.artemis.bm/deal-directory/everglades-re-ii-ltd-series-2024-1/,Everglades Re II Ltd.,Citizens Property Insurance,Aon Securities and GC Securities are joint structuring agents & bookrunners,AIR Worldwide,Florida named storm,,,,
https://www.artemis.bm/deal-directory/longleaf-pine-re-ltd-series-2024-1/,Longleaf Pine Re Ltd.,North Carolina Joint Underwriting Association,GC Securities is sole structuring agent and bookrunner,RMS,North Carolina named storm,145000000.0,Indemnity,NR,May 2024
https://www.artemis.bm/deal-directory/merna-re-ii-ltd-series-2024-1/,Merna Re II Ltd.,State Farm,Aon Securities is sole structuring agent and bookrunner,Unknown,US multi-peril,,,,
https://www.artemis.bm/deal-directory/polestar-re-ltd-series-2024-2/,PoleStar Re Ltd.,Beazley,Gallagher Securities is sole structuring agent and bookrunner,RMS,Cyber risks,160000000.0,Indemnity,NR,May 2024
